id,Period,StartH,StartM,StartS,EndH,EndM,EndS,Start,End,Total,Comment
N0vMc86L09c,1,0,19,52,0,20,52,1192,1252,60,NA
N0vMc86L09c,1,0,26,10,0,26,48,1570,1608,38,NA
N0vMc86L09c,2,1,0,30,1,1,27,3630,3687,57,NA
N0vMc86L09c,2,1,4,11,1,4,55,3851,3895,44,NA
N0vMc86L09c,2,1,8,26,1,9,59,4106,4199,93,NA
N0vMc86L09c,2,1,16,39,1,17,14,4599,4634,35,NA
N0vMc86L09c,2,1,20,15,1,21,2,4815,4862,47,NA
N0vMc86L09c,2,1,23,49,1,24,55,5029,5095,66,NA
N0vMc86L09c,2,1,27,15,1,29,52,5235,5392,157,NA
N0vMc86L09c,3,1,51,8,1,52,21,6668,6741,73,NA
N0vMc86L09c,3,1,55,31,1,56,56,6931,7016,85,NA
N0vMc86L09c,3,2,0,46,2,1,53,7246,7313,67,NA
N0vMc86L09c,3,2,4,50,2,5,52,7490,7552,62,NA
N0vMc86L09c,3,2,8,32,2,10,59,7712,7785,73,best acton
N0vMc86L09c,3,2,8,32,2,10,59,7795,7859,64,golll
N0vMc86L09c,3,2,15,0,2,16,30,8100,8190,90,NA
