id,Period,StartH,StartM,StartS,EndH,EndM,EndS,Start,End,Total,Comment
q0xCTeBfaYU,1,0,12,14,0,13,22,734,802,68,NA
q0xCTeBfaYU,1,0,15,33,0,17,45,933,1065,132,NA
q0xCTeBfaYU,1,0,19,27,0,20,23,1167,1223,56,NA
q0xCTeBfaYU,1,0,23,2,0,23,37,1382,1417,35,NA
q0xCTeBfaYU,1,0,25,38,0,27,24,1538,1644,106,NA
q0xCTeBfaYU,1,0,30,25,0,31,17,1825,1877,52,NA
q0xCTeBfaYU,1,0,33,30,0,35,12,2010,2112,102,NA
q0xCTeBfaYU,1,0,36,28,0,37,54,2188,2274,86,NA
q0xCTeBfaYU,2,0,54,13,0,55,14,3253,3314,61,NA
q0xCTeBfaYU,2,0,57,39,0,58,10,3459,3490,31,NA
q0xCTeBfaYU,2,1,1,39,1,2,20,3699,3740,41,NA
q0xCTeBfaYU,2,1,4,49,1,5,50,3889,3950,61,NA
q0xCTeBfaYU,2,1,10,7,1,11,19,4207,4279,72,NA
q0xCTeBfaYU,2,1,13,47,1,14,41,4427,4481,54,NA
q0xCTeBfaYU,2,1,16,54,1,17,45,4614,4665,51,NA
q0xCTeBfaYU,2,1,19,23,1,21,20,4763,4880,117,NA
q0xCTeBfaYU,2,1,25,22,1,26,11,5122,5171,49,NA
q0xCTeBfaYU,3,1,42,7,1,42,54,6127,6174,47,NA
q0xCTeBfaYU,3,1,44,23,1,45,9,6263,6309,46,NA
q0xCTeBfaYU,3,1,47,38,1,48,25,6458,6505,47,NA
q0xCTeBfaYU,3,1,50,26,1,51,7,6626,6667,41,NA
q0xCTeBfaYU,3,1,52,7,1,53,27,6727,6807,80,NA
q0xCTeBfaYU,3,1,55,51,1,56,30,6951,6990,39,NA
q0xCTeBfaYU,3,1,59,36,2,0,35,7176,7235,59,GOAL
q0xCTeBfaYU,3,2,2,46,2,3,35,7366,7415,49,NA
q0xCTeBfaYU,3,2,4,44,2,5,3,7484,7503,19,NA
q0xCTeBfaYU,3,2,6,43,2,8,54,7603,7734,131,NA
