id,Period,StartH,StartM,StartS,EndH,EndM,EndS,Start,End,Total,Comment
W_uBqrr1Bns,1,0,14,43,0,15,28,883,928,45,NA
W_uBqrr1Bns,2,0,52,31,0,53,53,3151,3233,82,NA
W_uBqrr1Bns,3,1,35,5,1,36,5,5705,5765,60,NA
W_uBqrr1Bns,3,1,38,23,1,39,29,5903,5969,66,assist
W_uBqrr1Bns,3,1,41,45,1,42,12,6105,6132,27,NA
W_uBqrr1Bns,3,1,44,48,1,45,35,6288,6335,47,NA
W_uBqrr1Bns,3,1,47,57,1,48,45,6477,6525,48,NA
W_uBqrr1Bns,3,1,51,34,1,52,15,6694,6735,41,NA
W_uBqrr1Bns,3,1,54,12,1,55,37,6852,6937,85,NA
W_uBqrr1Bns,3,1,58,25,1,59,11,7105,7151,46,NA
